Date,Time Precision,Country,Country ISO,Admin 1,Event Description,Latitude,Longitude,Geo Precision,Location of Incident,Actor,Actor Name,Weapon Carried/Used,Organisation Affected,Programme Focus,Aid Workers Killed,Aid Workers Injured,Aid Workers Kidnapped,Aid Workers Arrested,Known Kidnapping or Arrest Outcome,Aid Workers Killed in Captivity,International Aid Workers Killed,International Aid Workers Killed in Captivity,National Aid Workers Killed,National Aid Workers Killed in Captivity,Female Aid Workers Killed,Female Aid Workers Killed in Captivity,Male Aid Workers Killed,Male Aid Workers Killed in Captivity,Aid Workers Injured,International Aid Workers Injured,National Aid Workers Injured,Female Aid Workers Injured,Male Aid Workers Injured,Aid Workers Kidnapped,International Aid Workers Kidnapped,National Aid Workers Kidnapped,Female Aid Workers Kidnapped,Male Aid Workers Kidnapped,Aid Workers Arrested,International Aid Workers Arrested,National Aid Workers Arrested,Female Aid Workers Arrested,Male Aid Workers Arrested,SiND Event ID
#date +occurred,,#country,#country_ISO,#adm1,,#geo +lac,#geo +lon,,#loc,#group +perp ,#group +perp +name,#weapon,#org,#sector,#affected +killed,#affected +injured,#affected +kidnapped,#affected +arrested,,,,,,,,,,,,,,,,,,,,,,,,,,#event +id
15/01/2020,Exact Date,Afghanistan,AFG,Nangarhar Province,January 2020: A volunteer was arrested and two civilians were killed during a raid by Afghan and US forces.,34.231504,70.149404,"(4) Province, state, governorate ",No information,Host or self-declared host government - military,Afghan National Security Forces,Firearms,Red Cross (Nat Soc),Health,0,0,0,1,No information,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,24119
22/03/2020,Exact Date,Afghanistan,AFG,Kunar Province,March 2020: Five LNGO health workers were kidnapped by the Taliban. They were released after two days following mediation by tribal chiefs. ,34.97171133,71.14573048,"(4) Province, state, governorate ",No information,NSA,Taliban,Firearms,LNGO,Health,0,0,5,0,Freed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,24962
12/05/2020,Exact Date,Afghanistan,AFG,Kabul Province,"May 2020: 24 people were killed and 20 more were injured after gunmen wearing police uniforms stormed an INGO-supported maternity ward. An INGO midwife was also reportedly killed. At least three perpetrators were killed. Over 100 people, including nurses and foreign aid workers, were evacuated from the facility. The INGO announced its decision to end activities and withdraw from the hospital.",34.5245112,69.17711257,"(3) District, communicipality, commune ",Health building,NSA,Unidentified armed actor,Firearms,INGO,Health,2,0,0,0,,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25182
27/05/2020,Exact Date,Afghanistan,AFG,Maidan Wardak Province,"May 2020: An INGO aid worker was kidnapped by an armed group while on leave visiting his family. He was released along with 27 other prisoners during a prisoner exchange on June 11, 2020.",34.17318076,68.26080755,(2) 25 km precision ,No information,NSA,Unidentified armed actor,Firearms,INGO,No information,0,0,1,0,Freed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,28340
13/08/2020,Exact Date,Afghanistan,AFG,Nangarhar Province,August 2020: A UN staff member was shot and killed in his home.,34.41950479,70.45824865,(6) Country,Home,NSA,Unidentified armed actor,Firearms,UN Agency,No information,1,0,0,0,,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26334
06/10/2020,Exact Date,Afghanistan,AFG,Kunar Province,October 2020: Two INGO aid workers were kidnapped by the Taliban.,35.0048441,71.19798132,"(3) District, communicipality, commune ",Project site,NSA,Taliban,Firearms,INGO,No information,0,0,2,0,No information,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1,1,0,0,0,0,0,28341
15/10/2020,Exact Date,Afghanistan,AFG,Ghazni Province,"October 2020: An LNGO aid worker was kidnapped from his home while he was on annual leave. He was released on November 30, 2020",33.58356178,68.18664551,(2) 25 km precision ,Home,NSA,Taliban,Firearms,LNGO,No information,0,0,1,0,Freed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,28343
28/11/2020,Exact Date,Afghanistan,AFG,Maidan Wardak Province,November 2020: A volunteer was stopped and detained by an unidentified armed group while on his way back from a family visit in Kabul. He was released and safely returned home. ,34.31621838,68.53272061,"(4) Province, state, governorate ",Road,NSA,Unidentified armed actor,Firearms,Red Cross (Nat Soc),Multiple,0,0,0,1,Freed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,26345
12/12/2020,Exact Date,Afghanistan,AFG,Sar-e Pol Province,December 2020: Two male INGO aid workers were kidnapped by the Taliban. They were held for 28 hours and then released.,36.29894,66.007414,(2) 25 km precision ,Road,NSA,Taliban,Firearms,INGO,No information,0,0,2,0,Freed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2,0,0,0,0,0,28358
20/01/2021,Exact Date,Afghanistan,AFG,Ghazni Province,January 2021: An LNGO administrative health worker was killed in shelling on a facility by an armed group.,33.54597303,68.41049339,"(3) District, communicipality, commune ",Health building,NSA,Unidentified armed actor,"Aerial bombing, missiles and shelling",LNGO,Health,1,0,0,0,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32280
22/01/2021,Exact Date,Afghanistan,AFG,Ghazni Province,January 2021: An LNGO administrative health worker and an NGO aid worker were killed in a rocket attack on a facility by an armed group.,33.54482846,68.42010137,"(3) District, communicipality, commune ",Health building,NSA,Unidentified armed actor,"Aerial bombing, missiles and shelling",LNGO,Health,2,0,0,0,,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32282
25/01/2021,Exact Date,Afghanistan,AFG,Ghazni Province,January 2021: Two volunteers were wounded in an armed attack.,33.5508,68.4225,"(3) District, communicipality, commune ",No information,NSA,Unidentified armed actor,Firearms,Red Cross (Nat Soc),Health,0,2,0,0,,0,0,0,0,0,0,0,0,0,2,0,2,0,2,0,0,0,0,0,0,0,0,0,0,26889
24/02/2021,Close -The exact date is within 2-6 days of the indicated date,Afghanistan,AFG,Daykundi Province,February 2021: Three INGO aid workers were attacked and wounded by gunmen.,33.725113,66.2196554,(2) 25 km precision ,No information,NSA,Unidentified armed actor,Firearms,INGO,Multiple,0,3,0,0,,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27067
