Country,Number of reported incidents,Number of health workers killed,Number of health workers kidnapped,Deprivation of liberty,Number of health workers arrested ,Number of health workers injured,Total health worker assaulted,Total number of attacks on facilities which reported destruction,Total number of attacks on facilities which reported damage,Forceful entry into health facility,Occupation of health facility,Health transportation destroyed,Health transportation damaged,Health transportation stolen/highjacked,"Looting, theft, robbery, burglary of health supplies",Obstruction to health care
#country +name,#event +num ,#affected +healthworker +killed,#affected +healthworker +kidnapped,,#affected +healthworker +arrested,#affected +healthworker +injured,#affected +healthworker +assaulted,#indicator +health_facility +destroyed +num,#indicator +health_facility +damaged +num,#indicator +health_facility +armed_entry +num,#indicator +health_facility +occupy,#indicator +health_transport +destroyed +num,#indicator +health_transport +damaged +num,#indicator +health_transport +abducted +num,#indicator +health_supplies +taken +num,#indicator +health_obstruction
Afghanistan,107,39,8,1,1,32,1,1,23,0,1,,15,1,8,
Algeria,1,,,1,1,,,,,,,,,,,
Bangladesh,1,,1,1,,,,,,,,,,,,
Belarus,1,,,,,,,,,,,,,,,
Brazil,1,1,,,,,,,,,,,,,,
Burkina Faso,46,10,36,17,2,11,,1,6,5,0,2,1,7,15,
Burundi,3,,2,2,,,1,,,,,,,,,
Cameroon,6,,3,1,,1,,0,0,1,0,0,0,0,,
CAR,107,4,1,1,25,16,,,2,6,9,,,15,40,1
Chechnya,1,,,,,,,,,,,,,,,
Chile,1,,,,,,,0,0,0,0,,,,,
China,1,,,,,,,,,,,,,,,
Colombia,8,4,2,2,,2,,0,0,0,0,0,0,0,0,
DRC,127,5,28,10,34,26,6,6,4,15,0,1,,,63,
Egypt,3,,,1,1,,,0,1,0,0,,,,,
El Salvador,1,,,,,2,2,,,,,,,,0,
Ethiopia,55,8,6,2,3,5,1,7,33,32,3,0,0,20,15,13
Guatemala,1,,,,,,,0,1,0,0,,,,,
Haiti,15,1,8,7,,1,4,0,1,1,0,0,15,0,,
Honduras,1,,,,,,,0,0,1,0,,,,,
India,1,1,,,,,,,,,,,,,,
Indonesia,2,1,,,,3,2,1,0,0,0,,,,,
Iraq,6,4,,,,1,6,1,2,1,0,,,,,
Kenya,1,,,,,,,,,,,,,,,
Kyrgyzstan,1,,,,,,,1,0,0,0,,,,0,
Libya,4,,,1,2,,,,,,,,,,,
Malawi,1,,,,,,,,,,,,,,,
Mali,18,2,29,3,,,3,0,0,5,0,0,0,4,3,
Mexico,13,6,1,3,,2,,0,0,3,0,0,1,0,,
Mozambique,2,,2,1,,,,0,0,0,0,,,,,
Myanmar,411,29,4,142,559,36,42,5,24,117,65,13,16,14,16,
Nicaragua,1,,,,,2,,,,,,,,,,
Niger,4,,1,1,,,,1,0,0,0,,,,,
Nigeria,49,6,30,21,2,5,,9,2,5,0,1,0,0,13,
OPT,152,5,0,,13,58,,3,28,1,2,0,29,0,,31
Pakistan,6,1,,2,21,,,0,0,1,0,,,,,
Philippines,1,1,,,,,,,,,,,,,,
Singapore,1,,,,,,,,,,,,,,,
Somalia,4,1,,,,,,0,2,0,0,,,,,
South Africa,3,1,1,1,,1,,0,0,0,0,0,1,0,,
South Sudan,29,12,2,,5,12,0,1,2,1,0,0,2,2,10,
Sudan,52,2,,13,22,17,17,0,0,25,1,0,1,1,0,
Swaziland,1,,,,,31,,,,,,,,,,
Syria,57,13,,6,16,45,1,1,11,2,0,1,4,0,14,
Uganda,2,,,,,4,4,,,,,,,,,
Ukraine,2,,,,,1,,,,,,2,3,0,,
USA,3,1,,,,,,0,1,0,0,,,,,
Venezuela,1,,,1,6,,,,,,,,,,,
Yemen,20,3,5,1,,6,4,1,6,1,1,0,3,0,,
